name,level,city,district,country,full_address,rating_percentage,average_project_size,large_project_size,references_count,certified_experts_count,profile_url,logo_url,scraped_at
Codequarters,Gold,Türkiye,88,Ankara,"88, Türkiye, Ankara, Çankaya, 06510",,28 kullanıcı,~200 kullanıcı,55,7,https://www.odoo.com/tr_TR/partners/codequarters-679964?country_id=215,https://odoocdn.com/web/image/res.partner/679964/image_128/Codequarters?unique=3b11142,2026-03-20T10:39:59.808865
Eska Yazılım ve Danışmanlık A.Ş.,Gold,Türkiye,85,İstanbul,"85, Türkiye, İstanbul, 34149",,13 kullanıcı,~100 kullanıcı,39,7,https://www.odoo.com/tr_TR/partners/eska-yazılım-ve-danısmanlık-as-5856007?country_id=215,https://odoocdn.com/web/image/res.partner/5856007/image_128/Eska%20Yaz%C4%B1l%C4%B1m%20ve%20Dan%C4%B1%C5%9Fmanl%C4%B1k%20A.%C5%9E.?unique=7a28e18,2026-03-20T10:39:59.809407
Rasard Teknoloji,Silver,Türkiye,85,İstanbul,"85, Türkiye, İstanbul, GEBZE, 41480",,10 kullanıcı,~40 kullanıcı,45,3,https://www.odoo.com/tr_TR/partners/rasard-teknoloji-10709490?country_id=215,https://odoocdn.com/web/image/res.partner/10709490/image_128/Rasard%20Teknoloji?unique=437c51a,2026-03-20T10:39:59.809926
Drysharks Consulting and trading LTD,Silver,Türkiye,90,Bursa,"90, Türkiye, Bursa, Görükle, 3300",,13 kullanıcı,~200 kullanıcı,44,3,https://www.odoo.com/tr_TR/partners/drysharks-consulting-and-trading-ltd-11421873?country_id=215,https://odoocdn.com/web/image/res.partner/11421873/image_128/Drysharks%20Consulting%20and%20trading%20LTD?unique=b1d2373,2026-03-20T10:39:59.810452
Projet Solutions,Silver,Türkiye,100,İstanbul,"100, Türkiye, İstanbul, Levent, 34400",,11 kullanıcı,~100 kullanıcı,26,4,https://www.odoo.com/tr_TR/partners/projet-solutions-27214238?country_id=215,https://odoocdn.com/web/image/res.partner/27214238/image_128/Projet%20Solutions?unique=3391314,2026-03-20T10:39:59.810941
K?ta Yaz?l?m,Silver,Türkiye,100,İstanbul,"100, Türkiye, İstanbul, 11520",,7 kullanıcı,~50 kullanıcı,25,3,https://www.odoo.com/tr_TR/partners/kta-yazlm-12223392?country_id=215,https://odoocdn.com/web/image/res.partner/12223392/image_128/K%3Fta%20Yaz%3Fl%3Fm?unique=3436f33,2026-03-20T10:39:59.811399
ALKEDOS TEKNOLOJİ A.Ş.,Silver,İstanbul,Türkiye,Bakırköy,"Türkiye, İstanbul, Bakırköy, 34770",,18 kullanıcı,~200 kullanıcı,10,3,https://www.odoo.com/tr_TR/partners/alkedos-teknoloji-as-17943352?country_id=215,https://odoocdn.com/web/image/res.partner/17943352/image_128/ALKEDOS%20TEKNOLOJ%C4%B0%20A.%C5%9E.?unique=35ae37d,2026-03-20T10:39:59.811956
MindDX Dijital Dönüşüm Teknolojileri San. Ve Tic. A.Ş.,Silver,Istanbul,Türkiye,34218,"Türkiye, Istanbul, 34218",,16 kullanıcı,~40 kullanıcı,8,4,https://www.odoo.com/tr_TR/partners/minddx-dijital-donusum-teknolojileri-san-ve-tic-as-17922279?country_id=215,https://odoocdn.com/web/image/res.partner/17922279/image_128/MindDX%20Dijital%20D%C3%B6n%C3%BC%C5%9F%C3%BCm%20Teknolojileri%20San.%20Ve%20Tic.%20A.%C5%9E.?unique=3c0e256,2026-03-20T10:39:59.812480
Boraq Group,Ready,Türkiye,81,İstanbul,"81, Türkiye, İstanbul, BAĞCILAR, 34218",,12 kullanıcı,~100 kullanıcı,20,2,https://www.odoo.com/tr_TR/partners/boraq-group-1275410?country_id=215,https://odoocdn.com/web/image/res.partner/1275410/image_128/Boraq%20Group?unique=75f65fc,2026-03-20T10:39:59.813005
Sanarise Teknoloji Endüstriyel İm. San. ve Tic. Ltd. Şti.,Ready,İstanbul,Türkiye,34846,"Türkiye, İstanbul, 34846",,14 kullanıcı,~100 kullanıcı,14,3,https://www.odoo.com/tr_TR/partners/sanarise-teknoloji-endustriyel-im-san-ve-tic-ltd-sti-6828056?country_id=215,https://odoocdn.com/web/image/res.partner/6828056/image_128/Sanarise%20Teknoloji%20End%C3%BCstriyel%20%C4%B0m.%20San.%20ve%20Tic.%20Ltd.%20%C5%9Eti.?unique=6aca6e3,2026-03-20T10:39:59.813460
ERP YAZILIM DANIŞMANLIK A.Ş.,Ready,İstanbul,Türkiye,34912,"Türkiye, İstanbul, 34912",,8 kullanıcı,~40 kullanıcı,12,3,https://www.odoo.com/tr_TR/partners/erp-yazilim-danismanlik-as-15389595?country_id=215,https://odoocdn.com/web/image/res.partner/15389595/image_128/ERP%20YAZILIM%20DANI%C5%9EMANLIK%20A.%C5%9E.?unique=01422e0,2026-03-20T10:39:59.813853
7Gates Interactive Technologies,Ready,Türkiye,100,İstanbul,"100, Türkiye, İstanbul, Istanbul, 34350",,13 kullanıcı,~30 kullanıcı,8,0,https://www.odoo.com/tr_TR/partners/7gates-interactive-technologies-21423?country_id=215,https://odoocdn.com/web/image/res.partner/21423/image_128/7Gates%20Interactive%20Technologies?unique=e019ba4,2026-03-20T10:39:59.814280
PATRİON İLERİ TEKNOLOJİ SİSTEMLERİ ANONİM ŞİRKETİ,Ready,Türkiye,90,İzmir,"90, Türkiye, İzmir, 35170",,7 kullanıcı,~20 kullanıcı,8,1,https://www.odoo.com/tr_TR/partners/patrion-ileri-teknoloji-sistemleri-anonim-sirketi-13221334?country_id=215,https://odoocdn.com/web/image/res.partner/13221334/image_128/PATR%C4%B0ON%20%C4%B0LER%C4%B0%20TEKNOLOJ%C4%B0%20S%C4%B0STEMLER%C4%B0%20ANON%C4%B0M%20%C5%9E%C4%B0RKET%C4%B0?unique=cbb2e38,2026-03-20T10:39:59.814724
Ekol Yazılım A.S.,Ready,Türkiye,100,Ankara,"100, Türkiye, Ankara, 06010",,6 kullanıcı,~30 kullanıcı,6,1,https://www.odoo.com/tr_TR/partners/ekol-yazılım-as-15555518?country_id=215,https://odoocdn.com/web/image/res.partner/15555518/image_128/Ekol%20Yaz%C4%B1l%C4%B1m%20A.S.?unique=3ac38a5,2026-03-20T10:39:59.815177
